country,gender,climber_name,climb_day,climb_month,climb_year
West Bank/Palestine,male,Raed Zidan[337][338][339],22,5,2013
Albania,female,Uta Ibrahimi,26,5,2012
Argentina,female,Mercedes Sahores,15,5,1999
Armenia,female,Irena Kharazova[15][16][17],16,5,2002
Australia,female,Brigitte Muir[21][22][23],3,10,1984
Austria,female,Gerlinde Kaltenbrunner[27][28][29],8,5,1978
Azerbaijan,female,Elmira Aslanova[32][33][34],19,5,2007
Bangladesh,female,Nishat Majumder[36][37][38],23,5,2010
Belgium,female,Ingrid Baeyens[45][46],10,5,1990
Bulgaria,female,Petya Kolcheva [bg][62][63],20,4,1984
Canada,female,Sharon Wood[68][69][70],5,10,1982
China,female,Wang Lei[78][79][80],25,5,1960
Costa Rica,female,Ligia Madrigal[83][84][85],24,5,2012
Croatia,female,Darija Bostjančić [bs; sh][86] Iris Bostjančić [sh][87] Ena Vrbek[88] Milena Šijan[89],4,2,1999
Cyprus,female,Oksana Kushnir[94],19,5,2012
Czechia,female,Klára Kolouchová[96][97],18,5,2007
Dominican Republic,female,Thais Herrera [Wikidata][103][104][105],21,5,2011
Ecuador,female,Paulina Aulestia[108],25,5,1999
Egypt,female,Manal Rostom [Wikidata][112][113][114][115],17,5,2007
Estonia,female,Krisli Melesk [et][121][122],23,5,2003
France,female,Christine Janin [fr][132],15,10,1978
Georgia,female,Mariam Mikava[45],12,5,1999
Germany,female,Hannelore Schmatz[139][140],10,5,1979
Hong Kong,female,Tsang Yin-hung[150][151][152][153],12,5,1992
Hungary,female,Anita Ugyan [hu][157],25,5,2002
Iceland,female,Vilborg Arna Gissurardóttir [is],16,5,2002
India,female,Bachendri Pal[160][161][162],20,5,1965
Iran,female,Afsaneh Hesamifard[165],5,10,1990
Italy,female,Manuela Di Centa[177],8,5,1978
Japan,female,Junko Tabei,11,5,1970
"Korea, South",female,Oh Eun-Sun[186][187],15,9,1977
Lebanon,female,Fatima Deryan,15,5,2006
Lithuania,female,Edita Nichols,10,5,1993
Mexico,female,Elsa Ávila[208][209][210],16,5,1989
Morocco,female,Bouchra Baibanou[218][219],3,6,2013
Nepal,female,Pasang Lhamu Sherpa,29,5,1953
Norway,female,Randi Skaug [no][238][239],29,4,1985
Oman,female,Nadhira Al Harthy[243],23,5,2010
Pakistan,female,Samina Baig,17,5,2000
Philippines,female,"Janet Belarmino, Carina Dayondo and Noelle Wenceslao",17,5,2006
Poland,female,Wanda Rutkiewicz,17,2,1980
Portugal,female,Maria Da Conceição,18,5,1995
Qatar,female,Asma Al Thani[257][258][259],13,5,2013
Romania,female,Iulia and Delia Zanoschi [ro],17,5,1995
